time_s,dpx,dpy,px,py,theta
149.256,1.07088e-06,-9.22445e-07,0.000211694,-1.90048e-07,0.00209599
149.259,7.51367e-07,-6.47217e-07,0.000212446,-1.91404e-07,0.00210343
149.263,8.12514e-07,-6.99888e-07,0.000213258,-1.92877e-07,0.00211147
149.267,6.4223e-07,-5.53208e-07,0.000213901,-1.94045e-07,0.00211783
149.272,7.94976e-07,-6.84781e-07,0.000214696,-1.95495e-07,0.0021257
149.275,4.90719e-07,-4.22698e-07,0.000215186,-1.96393e-07,0.00213056
149.279,1.21205e-06,-1.04404e-06,0.000216398,-1.98618e-07,0.00214256
149.283,9.25078e-07,-7.9685e-07,0.000217323,-2.00325e-07,0.00215172
149.287,1.08181e-06,-9.3186e-07,0.000218405,-2.0233e-07,0.00216243
149.292,1.7572e-06,-1.51363e-06,0.000220162,-2.05603e-07,0.00217983
149.295,1.03441e-06,-8.91029e-07,0.000221197,-2.07546e-07,0.00219007
149.299,2.95912e-07,-2.54895e-07,0.000221493,-2.08104e-07,0.002193
149.303,2.42953e-07,-2.09277e-07,0.000221736,-2.08563e-07,0.0021954
149.307,2.70692e-07,-2.3317e-07,0.000222006,-2.09075e-07,0.00219808
149.32,-7.15529e-07,6.16347e-07,0.000221291,-2.0772e-07,0.002191
149.32,-1.03025e-08,8.87442e-09,0.000221281,-2.07701e-07,0.0021909
149.32,8.78173e-09,-7.56446e-09,0.000221289,-2.07717e-07,0.00219098
149.324,3.37659e-07,-2.90854e-07,0.000221627,-2.08354e-07,0.00219433
149.327,2.63884e-07,-2.27306e-07,0.000221891,-2.08853e-07,0.00219694
149.331,1.59722e-06,-1.37583e-06,0.000223488,-2.11876e-07,0.00221275
149.335,1.17547e-06,-1.01253e-06,0.000224664,-2.14116e-07,0.00222439
149.339,5.4351e-07,-4.68172e-07,0.000225207,-2.15158e-07,0.00222977
